"No.","Time","Source","Destination","Protocol","Length","Info"
"124","0.114499693","172.20.218.11","224.0.0.251","MDNS","402","Standard query response 0x0000 PTR Google-Home-Mini-2fa6acd8f6f85997b401665fa00cf18d._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 2fa6acd8-f6f8-5997-b401-665fa00cf18d.local A, cache flush 172.20.218.11"
"125","0.114540835","60:e9:aa:e6:4d:43","Broadcast","ARP","56","Who has 172.20.223.191? Tell 172.20.217.210"
"126","0.114540593","CloudNet_97:bd:9f","Broadcast","LLC","137","S P, func=RNR, N(R)=64; DSAP NULL LSAP Individual, SSAP NULL LSAP Command"
"127","0.114540880","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.208.90? Tell 172.20.192.1"
"128","0.114540924","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.244.155? Tell 172.20.192.1"
"129","0.114540969","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.253.143? Tell 172.20.192.1"
"130","0.114541013","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.203.138? Tell 172.20.192.1"
"131","0.114558338","fe80::22df:b9ff:fe69:d9d9","ff02::fb","MDNS","434","Standard query response 0x0000 PTR Google-Home-Mini-2fa6acd8f6f85997b401665fa00cf18d._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 2fa6acd8-f6f8-5997-b401-665fa00cf18d.local AAAA, cache flush fe80::22df:b9ff:fe69:d9d9"
"132","0.114558417","fe80::22df:b9ff:fe69:d9d9","ff02::fb","MDNS","434","Standard query response 0x0000 PTR Google-Home-Mini-2fa6acd8f6f85997b401665fa00cf18d._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 2fa6acd8-f6f8-5997-b401-665fa00cf18d.local AAAA, cache flush fe80::22df:b9ff:fe69:d9d9"
"133","0.114541056","b0:dc:ef:fa:0c:df","Broadcast","ARP","56","Who has 172.20.193.237? Tell 172.20.225.135"
"134","0.114541101","b0:dc:ef:fa:0c:df","Broadcast","ARP","56","Who has 172.20.249.114? Tell 172.20.225.135"
"135","0.114604927","IntelCor_40:78:65","Broadcast","ARP","56","Who has 172.20.214.37? Tell 172.20.249.198"
"136","0.114604972","IntelCor_cf:5a:df","Broadcast","ARP","56","Who has 172.20.204.154? Tell 172.20.247.100"
"137","0.114605036","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.224.83? Tell 172.20.192.1"
"138","0.114605078","be:0a:1e:2e:c0:c1","Broadcast","ARP","56","Gratuitous ARP for 172.20.214.118 (Reply)"
"139","0.114605139","5a:e1:3b:6e:15:69","Broadcast","ARP","56","Who has 172.20.242.230? Tell 172.20.229.155"
"140","0.114605182","5a:e1:3b:6e:15:69","Broadcast","ARP","56","Who has 172.20.230.59? Tell 172.20.229.155"
"141","0.114605228","50:5a:65:e8:5c:31","Broadcast","ARP","56","Who has 172.20.215.138? Tell 172.20.223.29"
"142","0.114605271","d2:21:fc:57:b0:04","Broadcast","ARP","56","Who has 172.20.236.197? Tell 172.20.224.133"
"143","0.114634165","d2:21:fc:57:b0:04","Broadcast","ARP","56","Who has 172.20.204.23? Tell 172.20.224.133"
"144","0.114634212","aa:27:b5:93:f9:72","Broadcast","ARP","56","Who has 172.20.240.50? Tell 172.20.213.69"
"145","0.114634256","5a:e1:3b:6e:15:69","Broadcast","ARP","56","Who has 172.20.240.50? Tell 172.20.229.155"
